S,District,Division,Max_Temp,Min_Temp,Avg_Temp,Humidity,Rainfall,Rainfall_Lag_7,Rainfall_Lag_14,Rainfall_Lag_21,Rainfall_Lag_30,Temp_Lag_7,Humidity_Lag_7,Humidity_Lag_14,Humidity_Lag_21,Humidity_Lag_30,Dengue_Lag_7,Population_Density,Urban_Index,Dengue_case
1/1/2025,Dhaka,Dhaka,30.04,20.69,25.36,62.83,2.46,0,0,0,0,0,0,0,0,0,0,1697.69,0.23,26
1/2/2025,Dhaka,Dhaka,34.75,28.45,31.6,64.08,4.81,0,0,0,0,0,0,0,0,0,0,1697.69,0.23,35
1/3/2025,Dhaka,Dhaka,35.54,26.85,31.2,53.8,1.74,0,0,0,0,0,0,0,0,0,0,1697.69,0.23,8
1/4/2025,Dhaka,Dhaka,32.2,25.53,28.87,65.11,3.22,0,0,0,0,0,0,0,0,0,0,1697.69,0.23,28
1/5/2025,Dhaka,Dhaka,31.87,22.06,26.96,55.28,0,0,0,0,0,0,0,0,0,0,0,1697.69,0.23,1
1/6/2025,Dhaka,Dhaka,28.63,20.28,24.45,56.9,3.86,0,0,0,0,0,0,0,0,0,0,1697.69,0.23,25
1/7/2025,Dhaka,Dhaka,32.42,25.43,28.92,64.71,1.52,0,0,0,0,0,0,0,0,0,0,1697.69,0.23,24
1/8/2025,Dhaka,Dhaka,31.13,22.16,26.64,57.84,4.28,17.62,0,0,0,28.19,60.39,0,0,0,190,1697.69,0.23,17
1/9/2025,Dhaka,Dhaka,30.65,22.11,26.38,53.19,3.15,19.43,0,0,0,28.38,59.67,0,0,0,195,1697.69,0.23,15
1/10/2025,Dhaka,Dhaka,28.92,22.47,25.69,55.39,1.61,17.77,0,0,0,27.63,58.12,0,0,0,197,1697.69,0.23,11
1/11/2025,Dhaka,Dhaka,35.38,29.42,32.4,58.19,2,17.64,0,0,0,26.84,58.35,0,0,0,191,1697.69,0.23,27
1/12/2025,Dhaka,Dhaka,36.93,31.48,34.2,67.79,4.13,16.43,0,0,0,27.35,57.36,0,0,0,188,1697.69,0.23,18
1/13/2025,Dhaka,Dhaka,26.13,19.11,22.62,51.3,1.97,20.56,0,0,0,28.38,59.14,0,0,0,206,1697.69,0.23,17
1/14/2025,Dhaka,Dhaka,33.56,24.56,29.06,51.58,3.24,18.66,0,0,0,28.12,58.34,0,0,0,205,1697.69,0.23,16
1/15/2025,Dhaka,Dhaka,34.31,24.36,29.33,68.54,0.46,20.37,2.46,0,0,28.14,56.47,62.83,0,0,207,1697.69,0.23,17
1/16/2025,Dhaka,Dhaka,31.3,25.92,28.61,54.34,0.92,16.55,4.81,0,0,28.53,58,64.08,0,0,203,1697.69,0.23,11
1/17/2025,Dhaka,Dhaka,28.57,20.59,24.58,54.41,1.7,14.33,1.74,0,0,28.85,58.16,53.8,0,0,213,1697.69,0.23,11
1/18/2025,Dhaka,Dhaka,29.52,22.18,25.85,50.38,4.43,14.42,3.22,0,0,28.69,58.02,65.11,0,0,214,1697.69,0.23,18
1/19/2025,Dhaka,Dhaka,35.82,29.67,32.75,51.35,1.04,16.85,0,0,0,27.75,56.91,55.28,0,0,197,1697.69,0.23,9
1/20/2025,Dhaka,Dhaka,25.52,18.97,22.25,56.75,0.9,13.76,3.86,0,0,27.54,54.56,56.9,0,0,181,1697.69,0.23,11
1/21/2025,Dhaka,Dhaka,30.03,22.92,26.47,65.35,0.91,12.69,1.52,0,0,27.49,55.34,64.71,0,0,186,1697.69,0.23,7
1/22/2025,Dhaka,Dhaka,36.55,29.35,32.95,64.64,4.94,10.36,4.28,2.46,0,27.12,57.3,57.84,62.83,0,196,1697.69,0.23,12
1/23/2025,Dhaka,Dhaka,28.5,20.69,24.59,62.5,0.97,14.84,3.15,4.81,0,27.64,56.75,53.19,64.08,0,207,1697.69,0.23,2
1/24/2025,Dhaka,Dhaka,30.87,22.85,26.86,51.73,0.75,14.88,1.61,1.74,0,27.06,57.91,55.39,53.8,0,198,1697.69,0.23,4
1/25/2025,Dhaka,Dhaka,28.23,19.31,23.77,56.24,3.64,13.93,2,3.22,0,27.39,57.53,58.19,65.11,0,187,1697.69,0.23,8
1/26/2025,Dhaka,Dhaka,36.48,30.24,33.36,68.86,4.99,13.14,4.13,0,0,27.09,58.37,67.79,55.28,0,204,1697.69,0.23,12
1/27/2025,Dhaka,Dhaka,26.39,19.71,23.05,55.19,4.13,17.09,1.97,3.86,0,27.18,60.87,51.3,56.9,0,204,1697.69,0.23,8
1/28/2025,Dhaka,Dhaka,36.33,26.91,31.62,53.87,4.65,20.32,3.24,1.52,0,27.29,60.64,51.58,64.71,0,205,1697.69,0.23,8
1/29/2025,Dhaka,Dhaka,34.16,24.6,29.38,64.49,4.6,24.07,0.46,4.28,0,28.03,59,68.54,57.84,0,193,1697.69,0.23,8
1/30/2025,Dhaka,Dhaka,29.74,22.36,26.05,51.92,4.81,23.73,0.92,3.15,0,27.52,58.98,54.34,53.19,0,190,1697.69,0.23,7
1/31/2025,Dhaka,Dhaka,30.81,25.74,28.28,62.69,0.14,27.57,1.7,1.61,2.46,27.73,57.47,54.41,55.39,62.83,188,1697.69,0.23,6
2/1/2025,Dhaka,Dhaka,35.79,29.43,32.61,56.86,0.36,26.97,4.43,2,4.81,27.93,59.04,50.38,58.19,64.08,198,1697.69,0.23,3
2/2/2025,Dhaka,Dhaka,36.96,31.6,34.28,56.81,3.29,23.69,1.04,4.13,1.74,29.19,59.12,51.35,67.79,53.8,195,1697.69,0.23,2
2/3/2025,Dhaka,Dhaka,25.98,19.79,22.88,58.7,3.58,21.99,0.9,1.97,3.22,29.32,57.4,56.75,51.3,65.11,197,1697.69,0.23,5
2/4/2025,Dhaka,Dhaka,30.16,23.29,26.72,56.59,3.95,21.43,0.91,3.24,0,29.3,57.91,65.35,51.58,55.28,202,1697.69,0.23,2
2/5/2025,Dhaka,Dhaka,26.78,20.33,23.56,69.43,3.52,20.73,4.94,0.46,3.86,28.6,58.29,64.64,68.54,56.9,208,1697.69,0.23,1
2/6/2025,Dhaka,Dhaka,27.65,20.09,23.87,51.41,3.4,19.65,0.97,0.92,1.52,27.77,59,62.5,54.34,64.71,202,1697.69,0.23,4
2/7/2025,Dhaka,Dhaka,26.75,17.8,22.28,52.78,4.39,18.24,0.75,1.7,4.28,27.46,58.93,51.73,54.41,57.84,196,1697.69,0.23,2
2/8/2025,Dhaka,Dhaka,30.21,24.23,27.22,65.79,1.1,22.49,3.64,4.43,3.15,26.6,57.51,56.24,50.38,53.19,194,1697.69,0.23,6
2/9/2025,Dhaka,Dhaka,28.06,19.14,23.6,53.09,1.78,23.23,4.99,1.04,1.61,25.83,58.79,68.86,51.35,55.39,202,1697.69,0.23,8
2/10/2025,Dhaka,Dhaka,31.54,21.78,26.66,62.89,4.03,21.72,4.13,0.9,2,24.3,58.26,55.19,56.75,58.19,199,1697.69,0.23,6
2/11/2025,Dhaka,Dhaka,31.62,24.96,28.29,53.7,4.02,22.17,4.65,0.91,4.13,24.84,58.85,53.87,65.35,67.79,192,1697.69,0.23,3
2/12/2025,Dhaka,Dhaka,31.7,22.5,27.1,60.14,1.12,22.25,4.6,4.94,1.97,25.07,58.44,64.49,64.64,51.3,187,1697.69,0.23,1
2/13/2025,Dhaka,Dhaka,30.4,20.99,25.69,51.82,2.76,19.84,4.81,0.97,3.24,25.57,57.11,51.92,62.5,51.58,184,1697.69,0.23,2
2/14/2025,Dhaka,Dhaka,31.72,24.73,28.22,65.27,0.47,19.2,0.14,0.75,0.46,25.83,57.17,62.69,51.73,68.54,186,1697.69,0.23,2
2/15/2025,Dhaka,Dhaka,25.88,18.8,22.34,62.76,0.34,15.28,0.36,3.64,0.92,26.68,58.96,56.86,56.24,54.34,189,1697.69,0.23,1
2/16/2025,Dhaka,Dhaka,29.32,20.12,24.72,56.34,3.25,14.53,3.29,4.99,1.7,25.99,58.53,56.81,68.86,54.41,188,1697.69,0.23,5
2/17/2025,Dhaka,Dhaka,29.69,23.86,26.77,53.09,3,16,3.58,4.13,4.43,26.15,58.99,58.7,55.19,50.38,187,1697.69,0.23,3
2/18/2025,Dhaka,Dhaka,27.87,20.05,23.96,67.86,2.94,14.97,3.95,4.65,1.04,26.16,57.59,56.59,53.87,51.35,193,1697.69,0.23,5
2/19/2025,Dhaka,Dhaka,26.68,17.73,22.2,52.42,3.44,13.88,3.52,4.6,0.9,25.54,59.61,69.43,64.49,56.75,189,1697.69,0.23,4
2/20/2025,Dhaka,Dhaka,29.23,20.32,24.78,64.73,2.2,16.21,3.4,4.81,0.91,24.84,58.51,51.41,51.92,65.35,186,1697.69,0.23,1
2/21/2025,Dhaka,Dhaka,25.73,19.37,22.55,59.12,3.95,15.64,4.39,0.14,4.94,24.71,60.35,52.78,62.69,64.64,183,1697.69,0.23,3
2/22/2025,Dhaka,Dhaka,36.53,30.05,33.29,56.27,3.43,19.13,1.1,0.36,0.97,23.9,59.48,65.79,56.86,62.5,183,1697.69,0.23,4
2/23/2025,Dhaka,Dhaka,30.15,24.83,27.49,61.19,0.03,22.21,1.78,3.29,0.75,25.47,58.55,53.09,56.81,51.73,188,1697.69,0.23,3
2/24/2025,Dhaka,Dhaka,29.88,23.42,26.65,65.37,0.58,18.99,4.03,3.58,3.64,25.86,59.24,62.89,58.7,56.24,186,1697.69,0.23,1
2/25/2025,Dhaka,Dhaka,30.68,23.93,27.3,53.22,0.4,16.57,4.02,3.95,4.99,25.85,60.99,53.7,56.59,68.86,185,1697.69,0.23,4
2/26/2025,Dhaka,Dhaka,26.74,20.95,23.84,63.24,1.75,14.03,1.12,3.52,4.13,26.32,58.9,60.14,69.43,55.19,186,1697.69,0.23,2
2/27/2025,Dhaka,Dhaka,34.41,25.71,30.06,63.75,1.93,12.34,2.76,3.4,4.65,26.56,60.45,51.82,51.41,53.87,190,1697.69,0.23,3
2/28/2025,Dhaka,Dhaka,32.96,26.31,29.64,60.76,0.44,12.08,0.47,4.39,4.6,27.31,60.31,65.27,52.78,64.49,193,1697.69,0.23,1
3/1/2025,Dhaka,Dhaka,35.18,25.59,30.38,69.07,1.93,8.57,0.34,1.1,4.81,28.32,60.54,62.76,65.79,51.92,191,1697.69,0.23,2
3/2/2025,Dhaka,Dhaka,29.52,23.15,26.34,53.43,4.02,7.07,3.25,1.78,0.14,27.91,62.37,56.34,53.09,62.69,188,1697.69,0.23,2
3/3/2025,Dhaka,Dhaka,30.46,21.69,26.08,56.82,4.73,11.06,3,4.03,0.36,27.74,61.26,53.09,62.89,56.86,190,1697.69,0.23,2
3/4/2025,Dhaka,Dhaka,35.85,28.14,31.99,64.58,4.62,15.21,2.94,4.02,3.29,27.66,60.04,67.86,53.7,56.81,182,1697.69,0.23,3
3/5/2025,Dhaka,Dhaka,29.56,19.9,24.73,55.56,2.51,19.42,3.44,1.12,3.58,28.33,61.67,52.42,60.14,58.7,189,1697.69,0.23,3
3/6/2025,Dhaka,Dhaka,33.39,26.8,30.09,67.34,1.82,20.19,2.2,2.76,3.95,28.46,60.57,64.73,51.82,56.59,184,1697.69,0.23,0
3/7/2025,Dhaka,Dhaka,28.07,21.66,24.86,69.52,3.62,20.07,3.95,0.47,3.52,28.46,61.08,59.12,65.27,69.43,186,1697.69,0.23,2
3/8/2025,Dhaka,Dhaka,34.41,25.26,29.83,61,3,23.25,3.43,0.34,3.4,27.78,62.33,56.27,62.76,51.41,196,1697.69,0.23,4
3/9/2025,Dhaka,Dhaka,29.21,20.22,24.72,59.8,2.97,24.32,0.03,3.25,4.39,27.7,61.18,61.19,56.34,52.78,187,1697.69,0.23,0
3/10/2025,Dhaka,Dhaka,30.83,22.01,26.42,59.13,0.12,23.27,0.58,3,1.1,27.47,62.09,65.37,53.09,65.79,195,1697.69,0.23,4
3/11/2025,Dhaka,Dhaka,33.85,28.72,31.29,60.84,2.15,18.66,0.4,2.94,1.78,27.52,62.42,53.22,67.86,53.09,200,1697.69,0.23,3
3/12/2025,Dhaka,Dhaka,34.96,29.44,32.2,69.73,3.94,16.19,1.75,3.44,4.03,27.42,61.88,63.24,52.42,62.89,209,1697.69,0.23,0
3/13/2025,Dhaka,Dhaka,29.49,20.85,25.17,51.72,4.36,17.62,1.93,2.2,4.02,28.49,63.91,63.75,64.73,53.7,220,1697.69,0.23,8
3/14/2025,Dhaka,Dhaka,25.82,15.84,20.83,65.27,1.02,20.15,0.44,3.95,1.12,27.78,61.68,60.76,59.12,60.14,216,1697.69,0.23,4
3/15/2025,Dhaka,Dhaka,26.49,20.25,23.37,69.53,0.1,17.55,1.93,3.43,2.76,27.21,61.07,69.07,56.27,51.82,204,1697.69,0.23,5
3/16/2025,Dhaka,Dhaka,25.86,16.57,21.21,51.65,3.98,14.65,4.02,0.03,0.47,26.29,62.29,53.43,61.19,65.27,213,1697.69,0.23,1
3/17/2025,Dhaka,Dhaka,31.21,22.39,26.8,55.28,3.3,15.66,4.73,0.58,0.34,25.79,61.13,56.82,65.37,62.76,210,1697.69,0.23,0
3/18/2025,Dhaka,Dhaka,34.36,27.61,30.99,51.47,4.44,18.84,4.62,0.4,3.25,25.84,60.58,64.58,53.22,56.34,208,1697.69,0.23,1
3/19/2025,Dhaka,Dhaka,31.7,26.47,29.09,61.9,1.29,21.13,2.51,1.75,3,25.8,59.24,55.56,63.24,53.09,190,1697.69,0.23,3
3/20/2025,Dhaka,Dhaka,26.22,19.3,22.76,50.17,4.73,18.48,1.82,1.93,2.94,25.35,58.12,67.34,63.75,67.86,183,1697.69,0.23,2
3/21/2025,Dhaka,Dhaka,25.23,19.35,22.29,64.64,0.6,18.86,3.62,0.44,3.44,25.01,57.9,69.52,60.76,52.42,181,1697.69,0.23,1
3/22/2025,Dhaka,Dhaka,36.11,28.96,32.54,51.71,3.58,18.44,3,1.93,2.2,25.22,57.81,61,69.07,64.73,180,1697.69,0.23,4
3/23/2025,Dhaka,Dhaka,26.82,18.38,22.6,65.6,4.3,21.92,2.97,4.02,3.95,26.52,55.26,59.8,53.43,59.12,166,1697.69,0.23,1
3/24/2025,Dhaka,Dhaka,30.92,23.51,27.22,51.6,3.01,22.25,0.12,4.73,3.43,26.72,57.25,59.13,56.82,56.27,159,1697.69,0.23,5
3/25/2025,Dhaka,Dhaka,25.68,18.02,21.85,59.63,2.37,21.96,2.15,4.62,0.03,26.78,56.73,60.84,64.58,61.19,159,1697.69,0.23,1
3/26/2025,Dhaka,Dhaka,29.89,23.65,26.77,69.97,2.66,19.88,3.94,2.51,0.58,25.48,57.89,69.73,55.56,65.37,159,1697.69,0.23,0
3/27/2025,Dhaka,Dhaka,36.68,30.28,33.48,52.5,4.23,21.26,4.36,1.82,0.4,25.15,59.05,51.72,67.34,53.22,173,1697.69,0.23,4
3/28/2025,Dhaka,Dhaka,27.96,19.73,23.85,66.94,2.03,20.75,1.02,3.62,1.75,26.68,59.38,65.27,69.52,63.24,187,1697.69,0.23,1
3/29/2025,Dhaka,Dhaka,26.64,16.79,21.72,54.08,2.52,22.18,0.1,3,1.93,26.9,59.71,69.53,61,63.75,191,1697.69,0.23,1
3/30/2025,Dhaka,Dhaka,25.88,18.39,22.13,67.88,2.12,21.12,3.98,2.97,0.44,25.35,60.05,51.65,59.8,60.76,202,1697.69,0.23,2
3/31/2025,Dhaka,Dhaka,36.4,28.35,32.38,51.17,3.48,18.94,3.3,0.12,1.93,25.29,60.37,55.28,59.13,69.07,203,1697.69,0.23,0
4/1/2025,Dhaka,Dhaka,29.68,22.42,26.05,67.4,13.55,19.41,4.44,2.15,4.02,26.02,60.31,51.47,60.84,53.43,201,1697.69,0.23,1
4/2/2025,Dhaka,Dhaka,30.1,20.51,25.3,68.29,12.52,30.59,1.29,3.94,4.73,26.62,61.42,61.9,69.73,56.82,225,1697.69,0.23,0
4/3/2025,Dhaka,Dhaka,27.95,19.63,23.79,79.09,9.5,40.45,4.73,4.36,4.62,26.42,61.18,50.17,51.72,64.58,230,1697.69,0.23,0
4/4/2025,Dhaka,Dhaka,30.15,24.18,27.17,68.63,6.49,45.73,0.6,1.02,2.51,25.03,64.98,64.64,65.27,55.56,237,1697.69,0.23,1
4/5/2025,Dhaka,Dhaka,31.31,22.04,26.67,71.02,5.45,50.18,3.58,0.1,1.82,25.5,65.22,51.71,69.53,67.34,252,1697.69,0.23,4
4/6/2025,Dhaka,Dhaka,27.38,21.58,24.48,75.13,14.09,53.11,4.3,3.98,3.62,26.21,67.64,65.6,51.65,69.52,263,1697.69,0.23,1
4/7/2025,Dhaka,Dhaka,25.32,17.2,21.26,72.54,5.49,65.09,3.01,3.3,3,26.55,68.68,51.6,55.28,61,292,1697.69,0.23,4
4/8/2025,Dhaka,Dhaka,26.06,18.52,22.29,68.07,6.1,67.1,2.37,4.44,2.97,24.96,71.73,59.63,51.47,59.8,305,1697.69,0.23,4
4/9/2025,Dhaka,Dhaka,32.14,24,28.07,79.14,13.23,59.64,2.66,1.29,0.12,24.42,71.82,69.97,61.9,59.13,309,1697.69,0.23,3
4/10/2025,Dhaka,Dhaka,25.76,16.84,21.3,65.24,6.62,60.35,4.23,4.73,2.15,24.82,73.37,52.5,50.17,60.84,321,1697.69,0.23,4
4/11/2025,Dhaka,Dhaka,36.12,30.97,33.54,74.39,9.21,57.47,2.03,0.6,3.94,24.46,71.39,66.94,64.64,69.73,343,1697.69,0.23,3
4/12/2025,Dhaka,Dhaka,30.13,24.88,27.5,67.62,12.3,60.19,2.52,3.58,4.36,25.37,72.22,54.08,51.71,51.72,343,1697.69,0.23,0
4/13/2025,Dhaka,Dhaka,32.7,25.07,28.89,74.71,9.11,67.04,2.12,4.3,1.02,25.49,71.73,67.88,65.6,65.27,340,1697.69,0.23,5
4/14/2025,Dhaka,Dhaka,33.16,26.47,29.82,68.65,9.43,62.06,3.48,3.01,0.1,26.12,71.67,51.17,51.6,69.53,337,1697.69,0.23,2
4/15/2025,Dhaka,Dhaka,26.04,18.38,22.21,78.12,10.04,65.99,13.55,2.37,3.98,27.34,71.12,67.4,59.63,51.65,339,1697.69,0.23,11
4/16/2025,Dhaka,Dhaka,28.85,21.62,25.24,67.85,9.31,69.94,12.52,2.66,3.3,27.33,72.55,68.29,69.97,55.28,331,1697.69,0.23,3
4/17/2025,Dhaka,Dhaka,35.08,27.84,31.46,69.75,5.04,66.02,9.5,4.23,4.44,26.93,70.94,79.09,52.5,51.47,306,1697.69,0.23,3
4/18/2025,Dhaka,Dhaka,25.07,16.73,20.9,70.25,5.54,64.44,6.49,2.03,1.29,28.38,71.59,68.63,66.94,61.9,283,1697.69,0.23,4
4/19/2025,Dhaka,Dhaka,35.53,26.75,31.14,66.03,7.67,60.77,5.45,2.52,4.73,26.57,70.99,71.02,54.08,50.17,277,1697.69,0.23,12
4/20/2025,Dhaka,Dhaka,32.54,27.21,29.87,78.78,13.55,56.14,14.09,2.12,0.6,27.09,70.77,75.13,67.88,64.64,285,1697.69,0.23,5
4/21/2025,Dhaka,Dhaka,36.23,29.62,32.92,76.43,14.63,60.59,5.49,3.48,3.58,27.23,71.35,72.54,51.17,51.71,282,1697.69,0.23,5
4/22/2025,Dhaka,Dhaka,36.33,28.03,32.18,66.41,7.27,65.79,6.1,13.55,4.3,27.68,72.46,68.07,67.4,65.6,297,1697.69,0.23,9
4/23/2025,Dhaka,Dhaka,29.32,21.56,25.44,78.84,5.38,63.02,13.23,12.52,3.01,29.1,70.78,79.14,68.29,51.6,303,1697.69,0.23,10
4/24/2025,Dhaka,Dhaka,28.2,20.38,24.29,77.74,9.26,59.09,6.62,9.5,2.37,29.13,72.35,65.24,79.09,59.63,315,1697.69,0.23,7
4/25/2025,Dhaka,Dhaka,33.3,26.61,29.95,74.69,7.42,63.31,9.21,6.49,2.66,28.11,73.5,74.39,68.63,69.97,311,1697.69,0.23,7
4/26/2025,Dhaka,Dhaka,32.07,25.41,28.74,65.57,5.24,65.19,12.3,5.45,4.23,29.4,74.13,67.62,71.02,52.5,312,1697.69,0.23,10
4/27/2025,Dhaka,Dhaka,26.03,18.28,22.16,76.33,14.5,62.76,9.11,14.09,2.03,29.06,74.07,74.71,75.13,66.94,305,1697.69,0.23,3
4/28/2025,Dhaka,Dhaka,34.62,25.51,30.06,75.94,12.96,63.7,9.43,5.49,2.52,27.96,73.72,68.65,72.54,54.08,301,1697.69,0.23,10
4/29/2025,Dhaka,Dhaka,31.54,22.54,27.04,67.73,14.57,62.03,10.04,6.1,2.12,27.55,73.65,78.12,68.07,67.88,301,1697.69,0.23,4
4/30/2025,Dhaka,Dhaka,35.32,30.27,32.8,73.24,14.77,69.33,9.31,13.23,3.48,26.81,73.84,67.85,79.14,51.17,303,1697.69,0.23,4
5/1/2025,Dhaka,Dhaka,35.03,29.93,32.48,75.67,5.07,78.73,5.04,6.62,13.55,27.86,73.04,69.75,65.24,67.4,312,1697.69,0.23,11
5/2/2025,Dhaka,Dhaka,28.04,20.39,24.22,78.94,6.42,74.53,5.54,9.21,12.52,29.03,72.74,70.25,74.39,68.29,313,1697.69,0.23,1
5/3/2025,Dhaka,Dhaka,27.29,21.54,24.42,73.91,9.48,73.53,7.67,12.3,9.5,28.21,73.35,66.03,67.62,79.09,319,1697.69,0.23,9
5/4/2025,Dhaka,Dhaka,26.96,20.52,23.74,68.28,8.51,77.77,13.55,9.11,6.49,27.6,74.54,78.78,74.71,68.63,321,1697.69,0.23,8
5/5/2025,Dhaka,Dhaka,31.04,23.85,27.44,72.68,5.18,71.78,14.63,9.43,5.45,27.82,73.39,76.43,68.65,71.02,336,1697.69,0.23,9
5/6/2025,Dhaka,Dhaka,27.31,21.45,24.38,73.42,10.73,64,7.27,10.04,14.09,27.45,72.92,66.41,78.12,75.13,326,1697.69,0.23,11
5/7/2025,Dhaka,Dhaka,35.82,27.19,31.5,78.12,7.49,60.16,5.38,9.31,5.49,27.07,73.73,78.84,67.85,72.54,332,1697.69,0.23,9
5/8/2025,Dhaka,Dhaka,33.33,26.45,29.89,69.1,8.21,52.88,9.26,5.04,6.1,26.88,74.43,77.74,69.75,68.07,330,1697.69,0.23,9
5/9/2025,Dhaka,Dhaka,29.82,22.33,26.08,67.83,8.75,56.02,7.42,5.54,13.23,26.51,73.49,74.69,70.25,79.14,331,1697.69,0.23,16
5/10/2025,Dhaka,Dhaka,30.2,24.29,27.24,75.24,8.98,58.35,5.24,7.67,6.62,26.78,71.91,65.57,66.03,65.24,339,1697.69,0.23,16
5/11/2025,Dhaka,Dhaka,31.81,24.07,27.94,71.64,11.53,57.85,14.5,13.55,9.21,27.18,72.1,76.33,78.78,74.39,344,1697.69,0.23,7
5/12/2025,Dhaka,Dhaka,31.1,24,27.55,72.32,13.45,60.87,12.96,14.63,12.3,27.78,72.58,75.94,76.43,67.62,327,1697.69,0.23,18
5/13/2025,Dhaka,Dhaka,36.24,29.78,33.01,79.56,14.24,69.14,14.57,7.27,9.11,27.8,72.53,67.73,66.41,74.71,333,1697.69,0.23,9
